init_win_bytes_backward,bwd_packets_s,min_seg_size_forward,init_win_bytes_forward,flow_iat_mean,flow_packets_s,eng_iat_range,avg_fwd_segment_size,total_length_of_bwd_packets,packet_length_mean,bwd_header_length,fwd_iat_mean,flow_iat_std,eng_bps_pps,subflow_bwd_packets,fwd_packet_length_max,bwd_packet_length_mean,eng_fwd_bwd_ratio,avg_bwd_segment_size,subflow_bwd_bytes,flow_duration,flow_iat_max,packet_length_std,max_packet_length,total_backward_packets,fwd_iat_std,fwd_header_length,eng_bytes_per_pkt,bwd_packet_length_max,fwd_packet_length_mean,eng_pkt_cv,true_class
-0.21892713,-0.14819752,-0.8389747,-0.4820006,1.1744347,-0.17704384,3.3506286,-0.07573806,-0.0033760497,1.8122503,-0.0027372765,1.1460799,2.638502,1.7691768,-0.0049466286,0.12046849,2.037857,-0.07402844,2.037857,-0.003375236,2.0315907,3.3286238,1.535254,1.480022,-0.0049466286,3.6199465,-0.0045827185,1.7691855,1.615499,-0.07573806,1.1304274,DOS HULK
-0.24517798,0.13888475,1.0493779,-0.4820006,-0.30215225,-0.03577284,-0.3813856,-0.15587611,-0.007591349,-0.33602476,-0.010110098,-0.27083772,-0.37088326,-0.31546482,-0.009342957,-0.24726379,-0.28179622,-0.124319255,-0.28179622,-0.0075912806,-0.45647272,-0.3858976,-0.39066303,-0.42264092,-0.009342957,-0.3445686,-0.011229761,-0.31546533,-0.39176106,-0.15587611,-0.5754683,BENIGN
-0.24517798,0.0047195144,1.0493779,-0.4820006,-0.30213824,-0.10179453,-0.38137755,-0.12519826,-0.0076287617,-0.38372838,-0.010110098,-0.27083692,-0.37087008,-0.37480113,-0.009342957,-0.23921964,-0.35951024,-0.124319255,-0.35951024,-0.0076287,-0.45646727,-0.38588968,-0.43509617,-0.44540003,-0.009342957,-0.3445686,-0.011229761,-0.3748015,-0.41577134,-0.12519826,-0.5754683,BENIGN
-0.24517798,-0.14820002,1.0493779,1.6992905,-0.30212393,-0.10064273,-0.3813945,-0.31364793,-0.007714063,-0.5993006,-0.012918793,-0.27081832,-0.3708982,-0.5914477,-0.011101489,-0.28863367,-0.5366983,0.19754204,-0.5366983,-0.0077140164,-0.4564732,-0.385898,-0.49044272,-0.49729085,-0.011101489,-0.3445686,-0.011229761,-0.5914475,-0.4705148,-0.31364793,-0.5754683,BENIGN
-0.24517798,-0.14818482,-0.8389747,-0.46589756,0.15064918,-0.17704059,0.05862309,-0.28735262,-0.007702839,-0.58118534,-0.008530208,-0.27083802,0.20140257,-0.5748887,-0.0067051603,-0.2817387,-0.5273726,-0.24501726,-0.5273726,-0.0077027907,-0.16301914,0.052048683,-0.49044272,-0.49455976,-0.0067051603,-0.3445686,-0.01366701,-0.5748885,-0.46763358,-0.28735262,-0.5754683,BENIGN
-0.21959737,-0.14794989,-0.8389747,0.09405154,-0.28252983,-0.17694661,-0.35473615,-0.27566582,-0.0033715602,3.3032076,-0.008003578,-0.27073476,-0.3415989,3.4216878,-0.0067051603,-0.2656504,3.0714092,-0.16455193,3.0714092,-0.0033707456,-0.4386609,-0.35937235,4.278243,4.115984,-0.0067051603,-0.3444342,-0.010786625,3.421678,4.3963704,-0.27566582,2.0669334,DDOS
-0.24517798,1.0938812,-0.20952384,-0.40999407,-0.30216452,0.4341736,-0.381393,-0.30488282,-0.0077095735,-0.5884314,-0.011163359,-0.2708331,-0.37089598,-0.5804084,-0.009342957,-0.28633535,-0.5273726,-0.124319255,-0.5273726,-0.007709526,-0.4564775,-0.38590506,-0.48732463,-0.49455976,-0.009342957,-0.3445686,-0.012116034,-0.5804082,-0.46763358,-0.30488282,-0.5754683,BENIGN
-0.24517798,-0.14820002,-0.8389747,-0.47707826,-0.2972529,-0.1763566,-0.3813945,-0.30050027,-0.007714063,-0.5932622,-0.012918793,-0.26865226,-0.3708982,-0.5831682,-0.011101489,-0.2817387,-0.5366983,0.19754204,-0.5366983,-0.0077140164,-0.45584184,-0.3849538,-0.48551258,-0.49455976,-0.011101489,-0.3445686,-0.011894465,-0.583168,-0.4705148,-0.30050027,-0.5754683,BENIGN
-0.24517798,0.06094766,1.0493779,-0.4820006,-0.30214632,-0.07412509,-0.38138187,-0.16025867,-0.0076669226,-0.45981273,-0.010110098,-0.2708378,-0.370877,-0.4562161,-0.009342957,-0.24841295,-0.4387786,-0.124319255,-0.4387786,-0.0076668677,-0.4564704,-0.38589397,-0.46861595,-0.46861434,-0.009342957,-0.3445686,-0.011229761,-0.45621622,-0.44026184,-0.16025867,-0.5754683,BENIGN
0.6696922,-0.14819439,-0.8389747,1.5713102,0.10504919,-0.17703953,-0.14537118,-0.29611772,-0.0077133146,-0.59084684,-0.011865532,0.00078684173,0.024039809,-0.5817883,-0.010222224,-0.2817387,-0.5335897,0.07684405,-0.5335897,-0.007713268,-0.29813442,-0.15098785,-0.48612592,-0.49455976,-0.010222224,0.08647014,-0.010343489,-0.5817881,-0.4695544,-0.29611772,-0.5754683,BENIGN
